No.,UPT,ULTG,Lokasi,Nama Bay,Uraian Pekerjaan,Peralatan Padam,Padam,Sifat,PN Jawab,Awal HARI,Awal TGL,Awal BULAN,Awal TAHUN,Awal JAM,Akhir JAM,PERALATAN
1,GANDUL,ULTG TANGERANG SELATAN,GI 150KV LEGOK,TRF#3 150/20 kV,top up minyak konservator maintank dan pengecekan indikasi level minyak bushing primer fasa R Trafo 3 GI Legok,TRF#3 150/20 kV,150KV,3,M.UPT,JUM'AT,2,JAN,2026,08:31,,
2,GANDUL,ULTG TANGERANG SELATAN,GI 150KV LEGOK,TRF#3 150/20 kV,Lanjutan pekerjaan di esok hari top up minyak konservator maintank dan pengecekan indikasi level minyak bushing primer fasa R Trafo 3 GI Legok,TRF#3 150/20 kV,150KV,3,M.UPT,SABTU,3,JAN,2026,08:41,,
3,GANDUL,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,SKTT Pondok Indah - Gandul,Perbaikan tutup manhole JP6 SKTT Pondok Indah - Gandul,SKTT Pondok Indah - Gandul,150KV,5,M.UPT,KAMIS,15,JAN,2026,22:53,,
4,CIKUPA,ULTG BALARAJA,GI 150KV LAUTAN STEEL INDONESIA,"KTT LSI, Trafo #1, Trafo #2",Banjir,"KTT LSI, Trafo #1, Trafo #2",150KV,3,M.UPT,SABTU,24,JAN,2026,11:20,,
5,GANDUL,ULTG PETUKANGAN,GIS 150KV CIRENDEU ,TRF#2 150/20 kV,Emergency temuan suara flash dan pd riser trafo 2,TRF#2 150/20 kV,150KV,3,M.UPT,SABTU,24,JAN,2026,21:09,,
6,GANDUL,ULTG PETUKANGAN,GIS 150KV CIRENDEU ,TRF#2 150/20 kV,Investigasi suara flash pada trafo #2 ,TRF#2 150/20 kV,150KV,3,M.UPT,SABTU,25,JAN,2026,15:31,,
7,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,TRF#2 150/20 kV,Perbaikan Temuan Hotspot pada Terminal Sekunder CT dan Investigasi CF pada INC Trafo#2 ,TRF#2 150/20 kV,150KV,3,M.UPT,SENIN,26,JAN,2026,22:44,,
8,CIKUPA,ULTG CIKUPA,GI 150KV CITRA HABITAT,TRAFO #4,EMERGENCY Penggantian Relay OCR/ GFR Inc 20kV Trafo #4,TRAFO #4,150KV,3,M.UPT,RABU,11,FEB,2026,16:49,,
9,CIKUPA,ULTG BALARAJA,GI 150KV CIKANDE,BAY GMS,Pekerjaan Emergency penggantian CVT fasa R Bay GMS,BAY GMS,150KV,3,M.UPT,RABU,25,FEB,2026,06:28,,
10,GANDUL,ULTG PETUKANGAN,GIS 150KV CIRENDEU ,TRF#1 150/20 kV,Perbaikan PD pada inc trafo#1 ,TRF#1 150/20 kV,150KV,3,M.UPT,SELASA,24,FEB,2026,20:34,,
11,CIKUPA,ULTG SERANG,GI 150KV PUNCAK ARDI MULYA,Bay Trafo #4,Investigasi temuan PD Trafo 4,Bay Trafo #4,150KV,3,M.UPT,KAMIS,26,FEB,2026,18:14,,
