 ,CILEGON,CILEGON,,,CILEGON_GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,ULTG,LOKASI,BAY,VALIDASI,JENIS BAY,TEG ( kV ),URAIAN PEKERJAAN,Penanggung Jawab,Pelaksana,RENCANA,,,,,STATUS,PENYEBAB JADWAL ULANG,,"KETERANGAN (justifikasi ABK, Durasi lama, Pekerjaan Dimulai tidak on time)",REALISASI,,,,,,,LAPTEK,,"JUMLAH PERSONIL PELAKSANA HAR
(HAR GI DAN HAR PROM)
TIDAK TERMASUK PENGAWAS",JMLH HELPER,ROH/ROB/ROT,PEMELIHARAAN BAY  IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY TRAFO,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 500 KV,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DOUBLE BUSBAR),,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DIAMETER),,,,,,,,PEMELIHARAAN BAY KAPASITOR,,,,,,,PEMELIHARAAN PMT DIAMETER 500,,,,PEMELIHARAAN PMT DIAMETER 150,,,,PEMELIHARAAN BAY  REAKTOR 500,,,PEMELIHARAAN BAY  REAKTOR 150,,,,,,PEMELIHARAAN BAY KOPEL,,,,,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DOUBLE BUSBAR),,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DIAMETER),,,,PEMELIHARAAN TRAFO (KONDISIONAL),,OPTIMASI (P1 / P2),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMT 150 kV,CT 500,CT 150,PMS Rel 1 150,PMS Rel 2 150,PMS Line 500,PMS Line 150,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 500 kV,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,CT REF 500,CT REF 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150kV ,PMT 20 kV,CT 150,CT 20,PMS Rel 1,PMS Rel 2,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,NGR,CT REF 20,CT  SBEF,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS Line,CT 500,PT/CVT,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,PMS Rel 1,PMS Rel 2,PT/CVT,LA,PROTEKSI,PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,LA,CT 150,PROTEKSI,"PMS PENGAPIT 
A / B (TIDAK BERTEGANGAN)","PMS PENGAPIT 
AB ( TIDAK BERTEGANGAN)",PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,LA,PT/CVT 150,KAPASITOR BANK,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 500 kV,CT 500,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PMT 150,CT 150,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS 150 kV,PMT 150 kV,CT 150,PT/CVT 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,PMS YANG TERHUBUNG KE BUSBAR (TIDAK BERTEGANGAN),% Penyelesaian Pekerjaan Per Lokasi GI,Penggantian MInyak OLTC Trafo,Modifikasi atau Penggantian Microswitch,,,
,,,,,,,,,,BULAN,TANGGAL,DARI JAM,SAMPAI JAM,"LAMA PEKERJAAN
 (MENIT)",,CONTROLLABLE/UNCONTROLLABLE,ALASAN,,MULAI PEKERJAAN,,,SELESAI PEKERJAAN,,,"LAMA PEKERJAAN
 (MENIT)",,LAPTEK HARPRO,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalisasi Penulisan Tanggal,
,,,,,,,,,,,,,,,,,,,BULAN,TANGGAL,JAM,BULAN,TANGGAL,JAM,,,,,,,8,3,3,5,5,5,5,0,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,14,89,8,8,3,1,5,5,0,3,2,2,3,3,3,2,2,2,2,0,2,2,2,2,1,1,9,73,5,3,3,3,8,22,8,3,5,5,3,3,5,5,37,3,3,3,7,5,5,5,31,8,3,3,3,3,7,27,8,3,2,13,8,3,2,13,4,6,10,4,8,3,3,6,24,5,8,3,3,4,23,3,2,5,3,2,5,10,1,2,,,validasi kinerja 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ULTG CILEGON,GITET 500KV CILEGON BARU,7B1 DIAMETER#1 500kV,,DIAMETER 500kV,500 kV,Har Off 7 B1 Diameter #1 GITET Cilegon Baru,M.UPT,ULTG,JAN, 10,7:00:00,15:00:00,,TERLAKSANA,,,,JAN, 10,7:00:00,JAN, 10,15:00:00,480,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ULTG CILEGON,GITET 500KV CILEGON BARU,7AB1 DIAMETER #1 500kV,,DIAMETER 500kV,500 kV,Har Off 7 AB 1 Diameter #1 GITET Cilegon Baru,M.UPT,ULTG,JAN, 10,7:00:00,15:00:00,,TERLAKSANA,,,,JAN, 10,7:00:00,JAN, 10,15:00:00,480,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ULTG SURALAYA,GIS 150KV SALIRA INDAH,TRF K#2 150/20kV,,PENGHANTAR 150kV,150 kV,Har Off Trafo K#2 Saliran Indah,M.UPT,ULTG,JAN, 12,8:00:00,16:00:00,,TERLAKSANA,,,berbarengan padam KTT,JAN, 12,9:04:00,JAN, 12,15:00:00,356,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ULTG CILEGON,GI 150KV ANYER,KOPEL BUS 150kV,,KOPEL 150kV,150 kV,HAR OFF GI ANYER KOPEL BUS 150kV,M.UPT,ULTG,JAN, 12,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 12,10:53:00,JAN, 12,17:05:00,372,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
