,CAWANG,CAWANG,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,28,,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
NO,ULTG,LOKASI,BAY,VALIDASI,JENIS BAY,TEG ( kV ),URAIAN PEKERJAAN,Penanggung Jawab,Pelaksana,RENCANA,,,,,STATUS,PENYEBAB JADWAL ULANG,,"KETERANGAN (justifikasi ABK, Durasi lama, Pekerjaan Dimulai tidak on time)


",REALISASI,,,,,,,LAPTEK,LAPTEK Harpro,"JUMLAH PERSONIL PELAKSANA HAR
(HAR GI DAN HAR PROM)
TIDAK TERMASUK PENGAWAS",JMLH HELPER,ROH/ROB/ROT,PEMELIHARAAN BAY  IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY TRAFO,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 500 KV,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DOUBLE BUSBAR),,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DIAMETER),,,,,,,,PEMELIHARAAN BAY KAPASITOR,,,,,,,PEMELIHARAAN PMT DIAMETER 500,,,,PEMELIHARAAN PMT DIAMETER 150,,,,PEMELIHARAAN BAY  REAKTOR 500,,,PEMELIHARAAN BAY  REAKTOR 150,,,,,,PEMELIHARAAN BAY KOPEL,,,,,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DOUBLE BUSBAR),,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DIAMETER),,,,PEMELIHARAAN TRAFO (KONDISIONAL),,OPTIMASI (P1 / P2),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMT 150 kV,CT 500,CT 150,PMS Rel 1 150,PMS Rel 2 150,PMS Line 500,PMS Line 150,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 500 kV,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,CT REF 500,CT REF 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,PMT 20 kV,CT 150,CT 20,PMS Rel 1,PMS Rel 2,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,NGR,CT REF 20,CT  SBEF,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS Line,CT 500,PT/CVT,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,PMS Rel 1,PMS Rel 2,PT/CVT,LA,PROTEKSI,PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,LA,CT 150,PROTEKSI,"PMS PENGAPIT 
A / B (TIDAK BERTEGANGAN)","PMS PENGAPIT 
AB ( TIDAK BERTEGANGAN)",PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,LA,PT/CVT,KAPASITOR BANK,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 500 kV,CT 500,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PMT 150,CT 150,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS 150 kV,PMT 150 kV,CT 150,PT/CVT,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,PMS YANG TERHUBUNG KE BUSBAR (TIDAK BERTEGANGAN),% Penyelesaian Pekerjaan Per Lokasi GI,Penggantian MInyak Trafo,Modifikasi atau Penggantian Microswitch,,,,
,,,,,,,,,,BULAN,TANGGAL,DARI JAM,SAMPAI JAM,"LAMA PEKERJAAN
 (MENIT)",,CONTROLLABLE/UNCONTROLLABLE,ALASAN,,MULAI PEKERJAAN,,,SELESAI PEKERJAAN,,,"LAMA PEKERJAAN
 (MENIT)",,,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalisasi Penulisan Tanggal
,,,,,,,,,,,,,,,,,,,BULAN,TANGGAL,JAM,BULAN,TANGGAL,JAM,,,,,,,8,3,1,5,5,5,5,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,9,85,8,8,3,1,5,5,0,3,2,2,3,3,3,2,2,2,2,0,2,2,2,2,1,1,9,73,5,3,3,3,8,22,8,3,5,5,3,3,5,5,37,3,3,3,7,5,5,5,31,8,3,3,3,3,7,27,8,3,2,13,8,3,2,13,4,6,10,4,8,3,3,6,24,5,8,3,3,4,22,3,2,5,3,2,5,10,1,2,,VERIFIKASI KINERJA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV CAWANG BARU,PHT 150kV ABADI GUNA PAPAN #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 11,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sisrem tidak bisa bersamaan dengan pekerjaan RC di SUTT Cawang Baru-Durentiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV ABADI GUNA PAPAN,PHT 150kV CAWANG BARU #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 11,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sisrem tidak bisa bersamaan dengan pekerjaan RC di SUTT Cawang Baru-Durentiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV MINIATUR,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 24,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 24,8:13:00,JAN, 24,11:27:00,194,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV MINIATUR,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 24,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 24,11:04:00,JAN, 24,12:26:00,82,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV MINIATUR,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 24,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 24,10:29:00,JAN, 24,17:02:00,393,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
