,GANDUL,GANDUL,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,ULTG,LOKASI,BAY,VALIDASI,JENIS BAY,TEG ( kV ),URAIAN PEKERJAAN,Penanggung Jawab,Pelaksana,RENCANA,,,,,STATUS,PENYEBAB JADWAL ULANG,,"KETERANGAN (justifikasi ABK, Durasi lama, Pekerjaan Dimulai tidak on time)


",REALISASI,,,,,,,LAPTEK,,"JUMLAH PERSONIL PELAKSANA HAR
(HAR GI DAN HAR PROM)
TIDAK TERMASUK PENGAWAS",JUMLAH HELPER,ROH/ROB/ROT,PEMELIHARAAN BAY  IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY TRAFO,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 500 KV,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DOUBLE BUSBAR),,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DIAMETER),,,,,,,,PEMELIHARAAN BAY KAPASITOR,,,,,,,PEMELIHARAAN PMT DIAMETER 500,,,,PEMELIHARAAN PMT DIAMETER 150,,,,PEMELIHARAAN BAY  REAKTOR 500,,,PEMELIHARAAN BAY  REAKTOR 150,,,,,,PEMELIHARAAN BAY KOPEL,,,,,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DOUBLE BUSBAR),,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DIAMETER),,,,PEMELIHARAAN TRAFO (KONDISIONAL),,OPTIMASI (P1 / P2),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMT 150 kV,CT 500,CT 150,PMS Rel 1 150,PMS Rel 2 150,PMS Line 500,PMS Line 150,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 500 kV,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,CT REF 500,CT REF 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150kV ,PMT 20 kV,CT 150,CT 20,PMS Rel 1,PMS Rel 2,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,NGR,CT REF 20,CT  SBEF,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS Line,CT 500,PT/CVT,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,PMS Rel 1,PMS Rel 2,PT/CVT,LA,PROTEKSI,PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,LA,CT 150,PROTEKSI,"PMS PENGAPIT 
A / B (TIDAK BERTEGANGAN)","PMS PENGAPIT 
AB ( TIDAK BERTEGANGAN)",PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,LA,PT/CVT 150,KAPASITOR BANK,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 500 kV,CT 500,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PMT 150,CT 150,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS 150 kV,PMT 150 kV,CT 150,PT/CVT 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,PMS YANG TERHUBUNG KE BUSBAR (TIDAK BERTEGANGAN),% Penyelesaian Pekerjaan Per Lokasi GI,Penggantian MInyak OLTC Trafo,Modifikasi atau Penggantian Microswitch,,,,
,,,,,,,,,,BULAN,TANGGAL,DARI JAM,SAMPAI JAM,"LAMA PEKERJAAN
 (MENIT)",,CONTROLLABLE/UNCONTROLLABLE,ALASAN,,MULAI PEKERJAAN,,,SELESAI PEKERJAAN,,,"LAMA PEKERJAAN
 (MENIT)",,LAPTEK HARPRO,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalisasi Penulisan Tanggal,VALIDASI KINERJA ,STATUS PEKERJAAN
,,,,,,,,,,,,,,,,,,,BULAN,TANGGAL,JAM,BULAN,TANGGAL,JAM,,,,,,,8,3,3,5,5,5,5,0,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,14,89,8,8,3,1,5,5,0,3,2,2,3,3,3,2,2,2,2,0,2,2,2,2,1,1,9,73,5,3,3,3,8,22,8,3,5,5,3,3,5,5,37,3,3,3,7,5,5,5,31,8,3,3,3,3,7,27,8,3,2,13,8,3,2,13,4,6,10,4,8,3,3,6,24,5,8,3,3,4,23,3,2,5,3,2,5,10,1,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ULTG GANDUL,GITET 500KV GANDUL,7B6 DIAMETER #6 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV GANDUL BAY 7B6,MUPT,ULTG, JAN,10,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
2,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,TRF#2 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #2 GIS 150KV PONDOK INDAH,MUPT,ULTG, JAN,12,8:00:00,16:00:00,,TERLAKSANA,,,Berbarengan dengan pekerjaan penggantian RTU Obsolete & pemasangan monitoring kubikel inc trafo #2,JAN, 12,09:09:00,JAN, 12,17:37:00,508,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
3,ULTG GANDUL,GI 150KV DEPOK,KAPASITOR SC#1 150kV,Oke,KAPASITOR 150kV,150 kV,HAR OFF GI 150KV DEPOK BAY KAPASITOR,MUPT,ULTG, JAN,13,8:00:00,16:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 13,08:04:00,JAN, 13,13:03:00,299,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
4,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,BUSBAR #1 150kV,Oke,BUSBAR 150kV,150 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY BUSBAR #A,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 13,08:18:00,JAN, 13,11:30:00,192,ADA,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
5,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,BUSBAR #2 150kV,Oke,BUSBAR 150kV,150 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY BUSBAR #B,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 13,08:18:00,JAN, 13,11:30:00,192,ADA,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
6,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,KOPEL BUS 150kV,Oke,BUSBAR 150kV,150 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY KOPEL,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 13,08:21:00,JAN, 13,11:30:00,189,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
7,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,TRF#3 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #3 GIS 150KV PONDOK INDAH,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 13,08:52:00,JAN, 13,16:51:00,479,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
8,ULTG TANGERANG SELATAN,GI 150KV LEGOK,KAPASITOR SC#2 150kV,Oke,KAPASITOR 150kV,150 kV,HAR OFF GI 150KV LEGOK BAY KAPASITOR #2,MUPT,ULTG, JAN, 14,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Cuaca,Tidak jadi dilaksanakan karena cuaca tidak mendukung,,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
9,ULTG GANDUL,GI 150KV DEPOK,TRF#4 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #4 GI 150KV DEPOK,MUPT,ULTG, JAN, 14,8:00:00,16:00:00,,TERLAKSANA,,,"Terkendala cuaca hujan
Personil : 7 Orang",JAN, 14,08:11:00,JAN, 14,18:38:00,627,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
10,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,BUSBAR #1 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV PONDOK INDAH BAY BUSBAR #A,MUPT,ULTG, JAN,17,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
11,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,KOPEL BUS 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV PONDOK INDAH 150 KV BAY KOPEL,MUPT,ULTG, JAN,17,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
12,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,BUSBAR #2 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV PONDOK INDAH BAY BUSBAR #B,MUPT,ULTG, JAN,17,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
